Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
magavoter.com,FN,low,,,,,low,fake-news
majorthoughts.com,,,,,fake-news,,unknown,fake-news
martinlutherking.org,FN,very-low,,,,,very-low,fake-news
maywoodpost.com,,,1.0,,,,unknown,BF1
mbganews.com,FN,low,,,,,low,fake-news
mbynews.com,,,1.0,,,,unknown,BF1
mckenziepost.com,,,1.0,,,,unknown,BF1
mediamass.net,,,1.0,,,1.0,unknown,BF1
mediamaxzone.com,,,,,some-fake,,unknown,some-fake
mediazone.news,FN,low,,,,,low,fake-news
metropolitanworlds.com,,,,,fake-news,,unknown,fake-news
milo.yiannopoulos.net,FN,mixed,,,,,mixed,fake-news
mississippiherald.com,,,1.0,,imposter,,unknown,imposter
mminfo24.com,,,,1.0,,,unknown,FC1
molonlabemedia.com,FN,low,,,,,low,fake-news
morningledger.com,CP,low,,,,,low,conspiracy-pseudoscience
movingleft.com,FN,low,,,,,low,fake-news
mrcblog.com,FN,low,,,,,low,fake-news
mrnewswatch.com,,,1.0,,,,unknown,BF1
msnbc.website,,,1.0,,,,unknown,BF1
muricatoday.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
mygoogle.ca,FN,very-low,,,,,very-low,fake-news
mynewsguru.com,FN,low,,,,,low,fake-news
myzonetoday.com,FN,mixed,,,,,mixed,fake-news
nachrichten.de.com,,,1.0,,,,unknown,BF1
nahadaily.com,,,,,,1.0,unknown,unknown
.nationalinsiderpolitics.com,,,,,,1.0,unknown,unknown
nationonenews.com,FN,low,,,,,low,fake-news
nativeamericans.us,,,,,some-fake,,unknown,some-fake
nativestuff.us,,,,,fake-news,,unknown,fake-news
naturalawakeningsmag.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
naturalcuresnotmedicine.info,CP,low,,,,,low,conspiracy-pseudoscience
naturalmedicineteam.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
nbc.com.co,FN,very-low,,,imposter,,very-low,fake-news
nbc9news.com,,,1.0,,,,unknown,BF1
nbcnews.com.co,,,,,,1.0,unknown,unknown
ncscooper.com,S,(satire),1.0,,,,satire,satire
nephef.com,,,,,fake-news,,unknown,fake-news
nevo.news,FN,low,,,,,low,fake-news
newcenturytimes.com,FN,low,,,,,low,fake-news
newjournal.us,,,1.0,,,,unknown,BF1
newpoliticstoday.com,FN,low,,,fake-news,,low,fake-news
news-hound.com,,,,,,1.0,unknown,unknown
news14kgpn.com,,,1.0,,,,unknown,BF1
news14now.com,,,1.0,,,,unknown,BF1
newsandstoriesfromusa.com,FN,low,,,,,low,fake-news
newsbreakhere.com,,,,,fake-news,1.0,unknown,fake-news
newsbreakingspipe.com,,,,,fake-news,,unknown,fake-news
newsbreakshere.com,FN,low,,,fake-news,,low,fake-news
newsbuzzdaily.com,,,1.0,,,1.0,unknown,BF1
newsbysquad.com,,,,,fake-news,,unknown,fake-news
newschicken.com,FN,low,,,,,low,fake-news
newsconservative.com,FN,very-low,1.0,,fake-news,,very-low,fake-news
newsdaily10.com,,,1.0,,,,unknown,BF1
newsdaily12.com,,,,,imposter,,unknown,imposter
newsdaily27.com,,,1.0,,,,unknown,BF1
newsfeedobserver.com,,,,1.0,,,unknown,FC1
newsformetoday.com,,,,,fake-news,,unknown,fake-news
newshubs.info,,,1.0,,,,unknown,BF1
newsleak.co,,,,,fake-news,,unknown,fake-news
newsnow17.com,,,1.0,,,,unknown,BF1
newsoftrump.com,,,,,fake-news,,unknown,fake-news
newsphd.com,,,,,fake-news,,unknown,fake-news
newsprocession.com,FN,mixed,,,,,mixed,fake-news
newsservis.com,FN,very-low,,,,,very-low,fake-news
newsuptoday.com,FN,low,,,fake-news,,low,fake-news
newswatch33.com,,,1.0,,,1.0,unknown,BF1
nmws.us,FN,low,,,,,low,fake-news
nnettle.com,,,,,fake-news,,unknown,fake-news
nodisinfo.com,CP,low,,,,,low,conspiracy-pseudoscience
nofakenewsonline.us,,,1.0,,,,unknown,BF1
noscomunicamos.com,FN,low,,,,,low,fake-news
notmypot.us,,,1.0,,,,unknown,BF1
npiamerica.org,FN,low,,,,,low,fake-news
nydailynews-tv.com,,,,,imposter,,unknown,imposter
nyeveningnews.com,,,,1.0,,,unknown,FC1
nymeta.co,,,1.0,,,,unknown,BF1
observeronline.news,S,(satire),,,imposter,,satire,satire
onlineconservativepress.com,FN,low,,,,,low,fake-news
openmagazines.com,FN,very-low,,,fake-news,,very-low,fake-news
oppositionreport.com,FN,mixed,,,,,mixed,fake-news
oureyeonislam.com,FN,low,,,,,low,fake-news
ourhealthguides.com,CP,low,,,,,low,conspiracy-pseudoscience
ourlandofthefree.com,,,,1.0,parody,,unknown,parody
ourthoughtsnprayers.com,,,1.0,,,,unknown,BF1
pamelageller.com,FN,low,,,,,low,fake-news
patriotbeacon.com,FN,low,,,,,low,fake-news
patriotbeat.com,FN,mixed,,,,,mixed,fake-news
patriothangout.com,FN,low,,1.0,,,low,fake-news
patrioticexpress.com,FN,low,,,,,low,fake-news
patriotreport.com,FN,low,,,,,low,fake-news
patriotsvoice.info,FN,low,,,,,low,fake-news
patriotswalk.us,,,,1.0,,,unknown,FC1
patriotupdate.com,FN,low,,,,,low,fake-news
patriotusa.website,,,,,fake-news,,unknown,fake-news
persecutes.com,,,1.0,,fake-news,,unknown,fake-news
plymouthpatriotpost.com,FN,low,,,,,low,fake-news
pmnightlynews.com,FN,mixed,,,,,mixed,fake-news
policetask.com,,,,1.0,,,unknown,FC1
polipace.com,FN,mixed,,,,,mixed,fake-news
politicalblindspot.com,CP,low,,,,,low,conspiracy-pseudoscience
politicalears.com,FN,low,,,,,low,fake-news
politicalinbox.com,FN,low,,,,,low,fake-news
politicalmayhem.news,FN,low,,,fake-news,,low,fake-news
politicalsitenews.com,FN,low,,,,,low,fake-news
politicalstate.org,FN,mixed,,,,,mixed,fake-news
politicoinfo.com,FN,low,,,,,low,fake-news
politicops.com,S,(satire),1.0,1.0,parody,,satire,satire
politicot.com,,,1.0,1.0,parody,,unknown,parody
politicot.comuspoln.com,,,,1.0,,,unknown,FC1
politicsfocus.com,,,,1.0,,,unknown,FC1
politicslive.net,FN,very-low,,,,,very-low,fake-news
politicspaper.com,,,,,fake-news,,unknown,fake-news
politicsusanews.com,FN,very-low,,,fake-news,,very-low,fake-news
positivedaily.com,,,,,some-fake,,unknown,some-fake
potatriotpost.com,,,1.0,,,,unknown,BF1
potatriotpost.us,,,1.0,,,,unknown,BF1
powerdaily.us,,,,1.0,,,unknown,FC1
powerofnative.com,FN,very-low,,,,,very-low,fake-news
president45donaldtrump.com,FN,low,,1.0,fake-news,,low,fake-news
prideof-america.org,FN,low,,,,,low,fake-news
proamericanews.com,FN,low,,,,,low,fake-news
progresstribune.com,FN,mixed,,,,,mixed,fake-news
projectpurge.com,FN,low,,,,,low,fake-news
proud-patriots.com,FN,low,,,,,low,fake-news
proudcons.com,FN,low,,,,,low,fake-news
proudleader.com,FN,low,,,fake-news,,low,fake-news
qpolitical.com,FN,mixed,,,,,mixed,fake-news
qualitysharing.com,,,1.0,,,,unknown,BF1
react365.com,FN,very-low,1.0,,imposter,1.0,very-low,fake-news
readconservatives.news,FN,low,,,fake-news,,low,fake-news
reagancoalition.com,FN,low,,,,,low,fake-news
reaganwasright.com,,,1.0,,,,unknown,BF1
realtimepolitics.com,FN,low,,,,,low,fake-news
redcountry.us,FN,low,1.0,,fake-news,,low,fake-news
redflagnews.com,R,mixed,,,,1.0,mixed,right
redinfo.us,FN,very-low,1.0,,fake-news,,very-low,fake-news
redpeople.us,FN,very-low,,,,,very-low,fake-news
redpolitics.us,FN,low,,,fake-news,,low,fake-news
redrocktribune.com,FN,low,,,imposter,,low,fake-news
redstatejournalist.com,FN,low,,,,,low,fake-news
redstatepundit.com,FN,low,,,,,low,fake-news
redstatewave.com,FN,low,,,,,low,fake-news
reedcooper.net,FN,low,,,,,low,fake-news
reflectionofmind.org,CP,low,,,some-fake,,low,conspiracy-pseudoscience
religionmind.com,CP,mixed,,,fake-news,,mixed,conspiracy-pseudoscience
resistancereport.com,FN,mixed,,,,,mixed,fake-news
revolutions2040.com,,,,,fake-news,,unknown,fake-news
rickwells.us,FN,mixed,,,,,mixed,fake-news
rightalerts.com,FN,low,,,,,low,fake-news
rilenews.com,S,(satire),1.0,,,,satire,satire
rrtribune.com,FN,low,,,,,low,fake-news
rumorjournal.com,,,,,fake-news,,unknown,fake-news
rwnofficial.com,FN,low,,1.0,,,low,fake-news
satiratribune.com,S,(satire),1.0,,parody,,satire,satire
saynotopot.us,,,1.0,,,,unknown,BF1
scaryhours.com,,,1.0,,,,unknown,BF1
sciencefactz.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
secretsofthefed.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
shafaaq.com,FN,mixed,,,,,mixed,fake-news
sharednewsreport.com,FN,low,,,,,low,fake-news
shariawatch.org.uk,FN,very-low,,,,,very-low,fake-news
simpleorganicmedicine.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
sitsshow.blogspot.com,CP,low,,,,,low,conspiracy-pseudoscience
smhwtfnews.com,,,1.0,,,,unknown,BF1
smoloko.com,FN,very-low,,,,,very-low,fake-news
snoopack.com,,,,1.0,fake-news,1.0,unknown,fake-news
snopesisridiculo.us,,,1.0,,,,unknown,BF1
socialeverythings.com,,,,,fake-news,,unknown,fake-news
southernconservativeextra.com,,,,,fake-news,,unknown,fake-news
southjerseymechanic.com,FN,low,,,,,low,fake-news
sp.neuronation.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
speakgov.com,FN,low,,,,,low,fake-news
specialnewsusa.com,,,,1.0,,,unknown,FC1
speisa.com,FN,low,,,,,low,fake-news
spinzon.com,FN,low,,,fake-news,1.0,low,fake-news
statefort.com,FN,very-low,,,,,very-low,fake-news
states-tv.com,FN,low,,,fake-news,,low,fake-news
studionewsnetwork.com,FN,mixed,,,,,mixed,fake-news
success-street.com,,,,,fake-news,,unknown,fake-news
sundayinquirer.com,FN,very-low,1.0,,,,very-low,fake-news
supremepatriot.com,FN,low,,,fake-news,,low,fake-news
surenews.com,FN,low,,,,,low,fake-news
surreytelegraph.com,,,1.0,,,,unknown,BF1
svijmedia.com,FN,low,,,,,low,fake-news
sydneybulletin.com,,,1.0,,,,unknown,BF1
tashnews.com,FN,low,,,,,low,fake-news
tdnewswire.com,FN,very-low,,,,,very-low,fake-news
tdtalliance.com,FN,low,,,fake-news,,low,fake-news
teddystick.com,FN,low,,1.0,some-fake,,low,fake-news
telegraphsun.com,,,1.0,,,,unknown,BF1
thatviralfeed.net,,,,,some-fake,,unknown,some-fake
the-global-news.com,,,,,fake-news,,unknown,fake-news
the-insider.co,,,,,fake-news,,unknown,fake-news
theamericanews.co,,,,1.0,,,unknown,FC1
theantimedia.org,CP,mixed,,,,,mixed,conspiracy-pseudoscience
theaware.net,CP,low,,,,,low,conspiracy-pseudoscience
thebostontribune.com,FN,low,1.0,,,,low,fake-news
thebreakingnews.co,,,1.0,,,,unknown,BF1
thebreakingnews.today,FN,low,,,,,low,fake-news
thecontroversialfiles.net,CP,low,,,,,low,conspiracy-pseudoscience
thedailycheck.net,CP,mixed,,,,,mixed,conspiracy-pseudoscience
thedeplorablesociety.com,FN,low,,,,,low,fake-news
theearthchild.co.za,CP,mixed,,,,,mixed,conspiracy-pseudoscience
theeventchronicle.com,CP,low,,,,,low,conspiracy-pseudoscience
theexaminer.site,,,,1.0,fake-news,,unknown,fake-news
thefreepatriot.org,FN,low,,,,,low,fake-news
thefrt.com,,,1.0,,,,unknown,BF1
thegoodlordabove.com,FN,mixed,,,,,mixed,fake-news
thegopwatchdog.com,FN,low,,,,,low,fake-news
thehealthconsciousness.com,CP,low,,,,,low,conspiracy-pseudoscience
theinternationalreporter.org,CP,mixed,,,,,mixed,conspiracy-pseudoscience
theinternetpost.net,CP,mixed,,,fake-news,,mixed,conspiracy-pseudoscience
thelapost.com,FN,low,,,,,low,fake-news
thelastgreatstand.com,CP,low,,,,,low,conspiracy-pseudoscience
thelibertyeagle.com,FN,mixed,,,,,mixed,fake-news
thelibertyraise.com,,,,1.0,,,unknown,FC1
themiamigazette.com,,,,,imposter,,unknown,imposter
themindunleashed.org,CP,low,,,,,low,conspiracy-pseudoscience
themoralofthestory.us,,,,,fake-news,,unknown,fake-news
thenationalsun.com,,,1.0,,,,unknown,BF1
thenewyorkevening.com,FN,very-low,1.0,1.0,imposter,1.0,very-low,fake-news
thepeoplestruth.com,FN,low,,,,,low,fake-news
thepoliticaltribune.com,FN,low,,1.0,,,low,fake-news
.thepolitics.online,FN,low,,,,,low,fake-news
thepredicted.com,,,,,,1.0,unknown,unknown
thepremiumnews.com,FN,low,,,fake-news,,low,fake-news
thereporterz.com,,,1.0,,,1.0,unknown,BF1
therightists.com,FN,low,,1.0,parody,,low,fake-news
theseattletribune.com,,,1.0,,parody,,unknown,parody
thetrumpmedia.com,FN,low,,,fake-news,,low,fake-news
thetrumppers.com,,,,1.0,,,unknown,FC1
thetruthdivision.com,FN,low,,,,,low,fake-news
theusa-news.com,FN,low,,,fake-news,,low,fake-news
theusaconservative.com,,,,,fake-news,,unknown,fake-news
theuspatriot.com,FN,low,,,,,low,fake-news
theviralpatriot.com,FN,low,,,,,low,fake-news
thewashingtonpress.com,,,,,imposter,,unknown,imposter
thewashingtonpundit.com,FN,low,,,,,low,fake-news
thewashingtonreporter.com,FN,mixed,,,,,mixed,fake-news
thewashingtonsentinel.com,FN,mixed,,,,,mixed,fake-news
theworldupdate.com,,,,,fake-news,,unknown,fake-news
thirdestatenewsgroup.com,,,,,fake-news,,unknown,fake-news
times.com.mx,S,(satire),,,imposter,,satire,satire
timespolice.com,FN,low,,,,,low,fake-news
tmn.today,FN,low,,,,,low,fake-news
tmzbreaking.com,,,1.0,,,,unknown,BF1
tmzcomedy.com,,,1.0,,,,unknown,BF1
tmzhiphop.com,,,1.0,,,,unknown,BF1
tmzuncut.com,,,1.0,,,,unknown,BF1
tmzworldstar.com,,,1.0,,,,unknown,BF1
tmzworldstarnews.com,,,1.0,,,,unknown,BF1
todaydispatch.com,FN,low,,,,,low,fake-news
topalertnews.com,,,,1.0,,,unknown,FC1
topinfopost.com,CP,low,,,,,low,conspiracy-pseudoscience
topinfopost.con,,,,,some-fake,,unknown,some-fake
toprightnews.com,FN,low,,,,,low,fake-news
toptopic.club,FN,low,,,,,low,fake-news
trainnews.info,,,,1.0,,,unknown,FC1
trueamericans.me,,,,,fake-news,,unknown,fake-news
truebluescoop.com,FN,low,,,,,low,fake-news
truetrumpers.com,FN,,,,fake-news,1.0,unknown,fake-news
trumpbetrayed.us,,,1.0,,,,unknown,BF1
trumpers.online,FN,very-low,,,,,very-low,fake-news
trumpfailedthe.us,,,1.0,,,,unknown,BF1
trumpfooled.us,,,1.0,,,,unknown,BF1
trumphasscrewed.us,,,1.0,,,,unknown,BF1
trumplet.us,,,1.0,,,,unknown,BF1
trumpscrewed.us,,,1.0,,,,unknown,BF1
trumpservativenews.info,FN,low,,,,,low,fake-news
truthbroadcastnetwork.com,CP,low,,,,,low,conspiracy-pseudoscience
truthchannelpolitics.com,CP,low,,,,,low,conspiracy-pseudoscience
truthcommand.com,CP,low,,,,,low,conspiracy-pseudoscience
truthexam.com,FN,low,,,,,low,fake-news
truthfeednews.com,FN,low,,1.0,,,low,fake-news
truthrevolt.org,FN,low,,,,,low,fake-news
tyrannyrising.com,CP,mixed,,,,,mixed,conspiracy-pseudoscience
uconservative.net.,,,,,,1.0,unknown,unknown
undergroundhealth.com,CP,low,,,,,low,conspiracy-pseudoscience
undergroundjournalist.org,FN,low,,,,,low,fake-news
undergroundnewsreport.com,S,(satire),1.0,,fake-news,1.0,satire,satire
uniquewebmagazine.com,FN,low,,,,,low,fake-news
unitednews.org,,,1.0,,,,unknown,BF1
universaleinfo.com,,,1.0,1.0,,,unknown,BF1
universalemedia.net,,,1.0,,,,unknown,BF1
universepolitics.com,FN,low,,,fake-news,,low,fake-news
urbanimagemagazine.com,,,,,some-fake,,unknown,some-fake
urdoca.com,,,,,some-fake,,unknown,some-fake
usa-conservative.com,FN,low,,1.0,,,low,fake-news
usa-radio.com,,,,,fake-news,,unknown,fake-news
usa-television.com,FN,very-low,,1.0,imposter,,very-low,fake-news
usa360-tv.com,,,,,fake-news,,unknown,fake-news
usaconservativereport.com,FN,low,,,fake-news,,low,fake-news
usadailyinfo.com,,,,,fake-news,1.0,unknown,fake-news
usadailypost.us,FN,low,,1.0,fake-news,,low,fake-news
usadailyreview.com,FN,very-low,,,,,very-low,fake-news
usadailythings24.com,,,,,fake-news,,unknown,fake-news
usadailytime.com,FN,low,1.0,,fake-news,,low,fake-news
usadosenews.com,FN,low,,,fake-news,,low,fake-news
usafirstinformation.com,FN,low,,,fake-news,,low,fake-news
usafortrumponline.com,FN,low,,,,,low,fake-news
usainfront.com,FN,low,,,,,low,fake-news
usanetwork.info,FN,very-low,,,,,very-low,fake-news
usanews4u.us,FN,low,,,fake-news,,low,fake-news
usanewsflash.com,FN,low,,,fake-news,,low,fake-news
usanewstoday.org,FN,low,,,,,low,fake-news
usapolitics24hrs.com,,,,,fake-news,,unknown,fake-news
usapoliticsnow.com,FN,low,,,fake-news,,low,fake-news
usapoliticszone.com,,,,,fake-news,,unknown,fake-news
usapubliclife.com,FN,low,,,,,low,fake-news
usasnich.com,,,,,fake-news,,unknown,fake-news
usatoday-go.com,,,1.0,,,,unknown,BF1
usatoday.com.co,,,,,,1.0,unknown,unknown
usatodaynews.me,,,,,imposter,,unknown,imposter
usaviralnewstoday.com,FN,low,,,,,low,fake-news
usaworldbox.com,FN,low,,,fake-news,,low,fake-news
ushealthyadvisor.com,FN,low,,,fake-news,,low,fake-news
ushealthylife.com,,,,,fake-news,,unknown,fake-news
usherald.com,FN,low,,,fake-news,,low,fake-news
usinfonews.com,FN,very-low,,,fake-news,,very-low,fake-news
usjournalreview.com,FN,low,,,,,low,fake-news
uslibertywire.club,FN,very-low,,,,,very-low,fake-news
usnationalnews.org,FN,mixed,,,,,mixed,fake-news
uspoliticsinfo.com,R,mixed,,,fake-news,,mixed,right
uspostman.com,FN,low,,,fake-news,1.0,low,fake-news
ustruthwire.com,,,,,fake-news,,unknown,fake-news
vancouverinquirer.com,,,1.0,,,,unknown,BF1
vice-en-us.com,,,1.0,,,,unknown,BF1
viralactions.com,,,1.0,,fake-news,,unknown,fake-news
viralcords.com,S,(satire),,1.0,,,satire,satire
viraldevil.com,,,1.0,,,,unknown,BF1
viralitythings.us,,,,1.0,,,unknown,FC1
viralliberty.com,FN,very-low,,,,,very-low,fake-news
viralmugshot.com,,,1.0,,,,unknown,BF1
viralpropaganda.com,,,1.0,,,,unknown,BF1
viralspeech.com,,,1.0,,,,unknown,BF1
viralstupid.com,,,1.0,,,,unknown,BF1
voiceofamericatv.com,CP,low,,,,,low,conspiracy-pseudoscience
voiceofeurope.com,FN,low,,,,,low,fake-news
voxtribune.com,,,,,fake-news,,unknown,fake-news
vtamedia.com,,,1.0,,,,unknown,BF1
walkwithher.com,FN,low,,,,,low,fake-news
washingtonevening.com,,,1.0,,imposter,,unknown,imposter
washingtonfeed.com,FN,mixed,,1.0,imposter,,mixed,fake-news
washingtonpost.com.co,,,,,imposter,1.0,unknown,imposter
wazanews.tk,,,,1.0,fake-news,,unknown,fake-news
webdaily.com,FN,low,,,,,low,fake-news
webviners.com,,,,1.0,,,unknown,FC1
weconservative.com,FN,very-low,1.0,,fake-news,,very-low,fake-news
weekendherald.com,,,1.0,,,,unknown,BF1
wellnessachiever.net,CP,mixed,,,,,mixed,conspiracy-pseudoscience
welovenative.com,,,,,some-fake,,unknown,some-fake
werk35.com,,,,,imposter,,unknown,imposter
westernsentinel.com,FN,low,,,,,low,fake-news
westfieldpost.com,,,,,imposter,,unknown,imposter
wetheproudpatriots.com,,,,1.0,fake-news,,unknown,fake-news
wftj8news.com,,,1.0,,,,unknown,BF1
whatdoesitmean.com,CP,low,,,fake-news,,low,conspiracy-pseudoscience
winningdemocrats.com,FN,low,,,,,low,fake-news
witscience.org,S,(satire),1.0,,,,satire,satire
wleb21.com,,,1.0,,,,unknown,BF1
wm21news.com,,,1.0,,,,unknown,BF1
wmb36.com,,,1.0,,,,unknown,BF1
world-politicus.co,,,,1.0,,,unknown,FC1
world.politics.com,,,,,fake-news,,unknown,fake-news
worldnews-24.press,,,,1.0,,,unknown,FC1
worldnewscircle.com,,,,,fake-news,,unknown,fake-news
worldnewspolitics.com,FN,low,,,,,low,fake-news
worldpoliticsnow.com,,,,1.0,fake-news,,unknown,fake-news
worldpoliticus.com,FN,low,,,,,low,fake-news
worstpot.us,,,1.0,,,,unknown,BF1
wrejnews.com,,,1.0,,,,unknown,BF1
wrpm33.com,,,,,imposter,,unknown,imposter
wrpt16.com,,,1.0,,,,unknown,BF1
wy21news.com,,,,,imposter,,unknown,imposter
xbn-news.com,,,,1.0,,,unknown,FC1
yahoonews-us.com,,,1.0,,,,unknown,BF1
yournewswire.com,CP,low,1.0,1.0,fake-news,1.0,low,conspiracy-pseudoscience
zootfeed.com,FN,low,,,,,low,fake-news
thelastlineofdefense.online,,,1.0,,,,unknown,BF1
