Domain,MBFC,MBFC factual,BF,FC,PF,WI,factual,rating
usawatchdog.com,CP,L,,,,,left,conspiracy-pseudoscience
usbacklash.org,FN,VL,,,,,very-low,fake-news
uschronicle.com,FN,L,,,,,left,fake-news
uslibertywire.com,FN,L,,,,,left,fake-news
uspoln.com,S,,1.0,,fake-news,,unknown,satire
ussanews.com,FN,M,,1.0,,,mixed,fake-news
vaccineimpact.com,CP,L,,,,,left,conspiracy-pseudoscience
vaccines.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
vaccinesrevealed.com,CP,L,,,,,left,conspiracy-pseudoscience
vactruth.com,CP,L,,,,,left,conspiracy-pseudoscience
vaxxter.com,CP,L,,,,,left,conspiracy-pseudoscience
vdare.com,FN,L,,,,,left,fake-news
veteransfordonaldtrump.com,,,,,fake-news,,unknown,fake-news
veteranstoday.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
vidmax.com,FN,L,,,,,left,fake-news
vigilantcitizen.com,CP,L,,,,,left,conspiracy-pseudoscience
viralcocaine.com,FN,L,,,,,left,fake-news
viralhatch.com,FN,L,,,,,left,fake-news
viralnewsnetwork.net,CP,L,,,,,left,conspiracy-pseudoscience
votefraud.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
wakeup-world.com,CP,L,,,,,left,conspiracy-pseudoscience
wakingtimes.com,CP,L,,,,,left,conspiracy-pseudoscience
wallbuilders.com,FN,L,,,,,left,fake-news
washingtontimes.com,FN,M,,,,,mixed,fake-news
wattsupwiththat.com,CP,L,,,,,left,conspiracy-pseudoscience
waynedupree.com,FN,L,,,,,left,fake-news
wcpm3.com,,,1.0,,,,unknown,BF1
wearechange.org,CP,M,,,,,mixed,conspiracy-pseudoscience
westonaprice.org,CP,L,,,,,left,conspiracy-pseudoscience
wethepeopledaily.com,FN,M,,,,,mixed,fake-news
whale.to,CP,L,,,,,left,conspiracy-pseudoscience
whatreallyhappened.com,CP,M,,,,,mixed,conspiracy-pseudoscience
whatstheharm.net,FN,M,,,,,mixed,fake-news
whitehouse.news,CP,VL,,,,,very-low,conspiracy-pseudoscience
whydontyoutrythis.com,CP,L,,,some-fake,,left,conspiracy-pseudoscience
wikiislam.net,FN,M,,,,,mixed,fake-news
wikispooks.com,CP,M,,,,,mixed,conspiracy-pseudoscience
wittheshit.com,,,1.0,,,,unknown,BF1
wnd.com,FN,L,,,,,left,fake-news
wokesloth.com,FN,M,,,,,mixed,fake-news
womenarehuman.com,FN,M,,,,,mixed,fake-news
worldaffairsbrief.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
worlddoctorsalliance.com,CP,VL,,,,,very-low,conspiracy-pseudoscience
worldhealth.net,CP,L,,,,,left,conspiracy-pseudoscience
worldnewsdailyreport.com,S,,1.0,1.0,parody,1.0,unknown,satire
worldstarhiphop.com,FN,M,,,,,mixed,fake-news
worldtruth.tv,CP,VL,,,fake-news,1.0,very-low,conspiracy-pseudoscience
wtoe5news.com,,,1.0,,,,unknown,BF1
www1.cbn.com,CP,M,,,,,mixed,conspiracy-pseudoscience
x22report.com,CP,L,,,,,left,conspiracy-pseudoscience
yc.news,FN,M,,,,,mixed,fake-news
yesimright.com,FN,L,,,,,left,fake-news
zenith.news,FN,L,,,,,left,fake-news
zerohedge.com,CP,L,,,,,left,conspiracy-pseudoscience
16wmpo.com,,,,,imposter,,unknown,imposter
20minutenews.com,,,1.0,,,,unknown,BF1
247newsmedia.com,FN,very-low,,,fake-news,,very-low,fake-news
24online.news,,,,,imposter,,unknown,imposter
24wpn.com,FN,low,,,fake-news,,low,fake-news
24x365live.com,,,1.0,,fake-news,,unknown,fake-news
365usnews.com,,,,1.0,,,unknown,FC1
3ccorp.net,FN,low,,,,,low,fake-news
70news.wordpress.com,FN,very-low,,,,1.0,very-low,fake-news
7newspolitical.site,,,,1.0,,,unknown,FC1
8shit.net,,,1.0,,,,unknown,BF1
aattp.org,FN,low,,,,,low,fake-news
abc14news.com,,,1.0,,,,unknown,BF1
abcnews-us.com,FN,very-low,1.0,,,,very-low,fake-news
